"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"1283857","167517","1131","0","3","1","0","0","","",""
"1283858","167517","1184","16.9","1","1","","","","",""
"1283859","167517","1258","2.275","0","49","","","","",""
"1283860","167517","1246","3","0","57","","","","",""
"1283861","167517","1293","1.502","0","49","","","","",""
"1283862","167517","1125","0.09","3","1","0.08","0.1","","",""
"1283863","167517","1126","4.62","3","1","4.17","4.89","","",""
"1283864","167517","1128","0.01","3","1","0","0.04","","",""
"1283865","167517","1129","0","3","1","0","0","","",""
"1283866","167517","1276","0.003","0","57","","","","",""
"1283867","167517","1277","0.04","3","1","0.028","0.046","","",""
"1283868","167517","1279","0","0","57","","","","",""
"1283869","167517","1299","0","3","1","0","0","","",""
"1283870","167517","1313","0","3","1","0","0","","",""
"1283871","167517","1321","0.003","3","1","0","0.01","","",""
"1283872","167517","1325","0","3","1","0","0","","",""
"1283873","167517","1167","7.942","5","1","6.04","10.6","","",""
"1283874","167517","1170","0.217","3","1","0.18","0.24","","",""
"1283875","167517","1175","1.11","3","1","0.85","1.28","","",""
"1283876","167517","1186","55","3","1","45","63","","",""
"1283877","167517","1123","66","0","57","","","","",""
"1283878","167517","1004","9.49","6","1","9.27","9.63","","",""
"1283879","167517","1005","48.39","0","49","","","","",""
"1283880","167517","1008","309","0","49","","","","",""
"1283881","167517","1010","2.85","3","1","2.38","3.33","","",""
"1283882","167517","1011","0.05","3","1","0","0.14","","",""
"1283883","167517","1014","0.17","3","1","0.07","0.31","","",""
"1283884","167517","1051","31.57","6","1","29.61","33.29","","",""
"1283885","167517","1057","0","0","57","","","","",""
"1283886","167517","1058","0","0","57","","","","",""
"1283887","167517","2000","4.41","3","1","3.49","4.94","","",""
"1283888","167517","1087","299","5","1","82","511","","",""
"1283889","167517","1092","138","6","1","93","192","","",""
"1283890","167517","1095","0.48","6","1","0.24","0.55","","",""
"1283891","167517","1103","10.3","3","1","9.6","10.8","","",""
"1283892","167517","1212","0.312","0","57","","","","",""
"1283893","167517","1213","0.544","0","57","","","","",""
"1283894","167517","1214","0.329","0","57","","","","",""
"1283895","167517","1216","0.172","0","57","","","","",""
"1283896","167517","1219","0.362","0","57","","","","",""
"1283897","167517","1220","0.314","0","57","","","","",""
"1283898","167517","1221","0.159","0","57","","","","",""
"1283899","167517","1223","0.451","0","57","","","","",""
"1283900","167517","1227","0.385","0","57","","","","",""
"1283901","167517","1242","0","0","57","","","","",""
"1283902","167517","1259","0.005","0","57","","","","",""
"1283903","167517","1260","0.003","0","57","","","","",""
"1283904","167517","1262","0","3","1","0","0","","",""
"1283905","167517","1265","1.202","3","1","1.099","1.265","","",""
"1283906","167517","1266","0.967","3","1","0.864","1.114","","",""
"1283907","167517","1267","0.031","3","1","0.029","0.032","","",""
"1283908","167517","1268","5.23","3","1","4.466","5.876","","",""
"1283909","167517","1269","1.396","3","1","0.953","1.943","","",""
"1283910","167517","1270","0.099","3","1","0.037","0.214","","",""
"1283911","167517","1271","0.004","3","1","0","0.012","","",""
"1283912","167517","1109","0.68","3","1","0.55","0.77","","",""
"1283913","167517","1253","13","3","1","6","26","","",""
"1283914","167517","1261","0","3","1","0","0","","",""
"1283915","167517","1263","0","3","1","0","0","","",""
"1283916","167517","1264","0.027","3","1","0.024","0.031","","",""
"1283917","167517","1272","0.008","0","57","","","","",""
"1283918","167517","1273","0.036","3","1","0.035","0.037","","",""
"1283919","167517","1274","0","3","1","0","0","","",""
"1283920","167517","1185","12.5","1","1","","","","",""
"1283921","167517","1120","2","0","57","","","","",""
"1283922","167517","1122","0","0","57","","","","",""
"1283923","167517","1107","2","0","57","","","","",""
"1283924","167517","1108","0","0","57","","","","",""
"1283925","167517","1162","0","3","1","0","0","","",""
"1283926","167517","1165","0.563","5","1","0.446","0.733","","",""
"1283927","167517","1166","0.648","5","1","0.38","0.8","","",""
"1283928","167517","1177","68","3","1","55","76","","",""
"1283929","167517","1210","0.082","0","57","","","","",""
"1283930","167517","1211","0.25","0","57","","","","",""
"1283931","167517","1215","0.148","0","57","","","","",""
"1283932","167517","1217","0.337","0","57","","","","",""
"1283933","167517","1218","0.172","0","57","","","","",""
"1283934","167517","1222","0.276","0","57","","","","",""
"1283935","167517","1224","1.793","0","57","","","","",""
"1283936","167517","1225","0.237","0","57","","","","",""
"1283937","167517","1226","0.621","0","57","","","","",""
"1283938","167517","1275","0.022","3","1","0.015","0.032","","",""
"1283939","167517","1278","0.013","0","57","","","","",""
"1283940","167517","1280","0","0","57","","","","",""
"1283941","167517","1300","0.013","3","1","0.012","0.013","","",""
"1283942","167517","1323","0","3","1","0","0","","",""
"1283943","167517","1333","0","3","1","0","0","","",""
"1283944","167517","1098","0.037","6","1","0.021","0.076","","",""
"1283945","167517","1101","0.223","6","1","0.037","0.278","","",""
"1283946","167517","1104","1463","0","49","","","","",""
"1283947","167517","1105","437","3","1","210","685","","",""
"1283948","167517","1003","7.42","6","1","7.07","7.74","","",""
"1283949","167517","1007","3.13","6","1","2.84","3.5","","",""
"1283950","167517","1009","39.7","3","1","38.61","41.08","","",""
"1283951","167517","1012","0","3","1","0","0","","",""
"1283952","167517","1013","1.35","3","1","0.8","2.04","","",""
